173, 0, 41.496691, -86.322044, 238.96, 0.00, 1, 0.00, 1500, 1500, 1500, 151.25, 14431.25, 8.75, 14427.50
174, 0, 41.496691, -86.322044, 238.70, 0.00, 1, 0.00, 1500, 1500, 1500, 146.25, 14430.00, 7.50, 14425.00
176, 0, 41.496691, -86.322044, 240.30, 0.00, 1, 0.00, 1500, 1500, 1500, 155.00, 14423.75, 7.50, 14425.00
177, 0, 41.496691, -86.322044, 239.04, 0.00, 1, 0.00, 1500, 1500, 1500, 155.00, 14425.00, 7.50, 14423.75
178, 0, 41.496693, -86.322044, 237.23, 0.00, 1, 0.00, 1500, 1500, 1500, -1077.50, 14491.25, 4323.75, 14487.50
179, 0, 41.496693, -86.322044, 240.28, 0.00, 1, 0.00, 1500, 1500, 1500, 153.75, 14427.50, 6.25, 14422.50
180, 0, 41.496693, -86.322044, 238.70, 0.00, 1, 0.00, 1500, 1500, 1500, 163.75, 14430.00, 7.50, 14426.25
181, 0, 41.496693, -86.322044, 239.95, 0.00, 1, 0.00, 1500, 1500, 1500, 161.25, 14431.25, 8.75, 14427.50
182, 0, 41.496693, -86.322044, 237.94, 0.00, 1, 0.00, 1500, 1500, 1500, 148.75, 14430.00, 6.25, 14426.25
183, 0, 41.496693, -86.322044, 236.82, 0.00, 1, 0.00, 1500, 1500, 1500, 146.25, 14428.75, 7.50, 14427.50
184, 0, 41.496693, -86.322044, 240.17, 0.00, 1, 0.00, 1500, 1500, 1500, 163.75, 14426.25, 8.75, 14426.25
185, 0, 41.496693, -86.322044, 241.27, 0.00, 1, 0.00, 1500, 1500, 1500, 156.25, 14431.25, 6.25, 14427.50
186, 0, 41.496693, -86.322044, 239.49, 0.00, 1, 0.00, 1500, 1500, 1500, 233.75, 14427.50, 7.50, 14431.25
187, 0, 41.496693, -86.322044, 239.95, 0.00, 1, 0.00, 1500, 1500, 1500, 160.00, 14427.50, 6.25, 14426.25
189, 0, 41.496693, -86.322052, 240.51, 0.00, 1, 0.00, 1500, 1500, 1500, 158.75, 14427.50, 7.50, 14425.00
